partition,split,hash,n,<=8,9-10,11-12,13-16,>16,excluded_by_rule
iid,val,dhash,7066,0,143,171,2225,4527,497
iid,val,phash,7066,202,133,252,2973,3506,497
iid,test,dhash,7245,0,81,340,3405,3419,483
iid,test,phash,7245,133,99,100,3157,3756,483
non_iid_label,val,dhash,7199,0,61,267,2966,3905,503
non_iid_label,val,phash,7199,163,82,315,3625,3014,503
non_iid_label,test,dhash,7198,0,161,223,3649,3165,472
non_iid_label,test,phash,7198,114,121,182,3398,3383,472
dirichlet_0.1,val,dhash,7156,0,90,162,2629,4275,439
dirichlet_0.1,val,phash,7156,224,100,228,3628,2976,439
dirichlet_0.1,test,dhash,7204,0,386,392,2774,3652,1027
dirichlet_0.1,test,phash,7204,135,223,345,3543,2958,1027
dirichlet_0.5,val,dhash,7199,0,117,280,3045,3757,678
dirichlet_0.5,val,phash,7199,190,243,405,3063,3298,678
dirichlet_0.5,test,dhash,7201,0,71,167,2743,4220,272
dirichlet_0.5,test,phash,7201,75,27,136,3942,3021,272
dirichlet_1,val,dhash,7198,0,390,352,3213,3243,825
dirichlet_1,val,phash,7198,105,69,482,3675,2867,825
dirichlet_1,test,dhash,7201,0,83,220,3358,3540,485
dirichlet_1,test,phash,7201,188,104,247,4418,2244,485
iid_sub0.05,val,dhash,7066,0,2,14,669,6381,30
iid_sub0.05,val,phash,7066,8,11,12,994,6041,30
iid_sub0.05,test,dhash,7245,0,12,168,1610,5455,228
iid_sub0.05,test,phash,7245,48,43,86,1244,5824,228
iid_sub0.01,val,dhash,7066,0,1,2,162,6901,14
iid_sub0.01,val,phash,7066,3,9,15,373,6666,14
iid_sub0.01,test,dhash,7245,0,0,23,1023,6199,27
iid_sub0.01,test,phash,7245,1,3,9,720,6512,27
non_iid_label_sub0.05,val,dhash,7199,0,4,45,1247,5903,85
non_iid_label_sub0.05,val,phash,7199,36,10,26,1622,5505,85
non_iid_label_sub0.05,test,dhash,7198,0,5,34,1608,5551,60
non_iid_label_sub0.05,test,phash,7198,21,16,31,1431,5699,60
non_iid_label_sub0.01,val,dhash,7199,0,0,14,580,6605,14
non_iid_label_sub0.01,val,phash,7199,0,1,6,727,6465,14
non_iid_label_sub0.01,test,dhash,7198,0,8,19,809,6362,44
non_iid_label_sub0.01,test,phash,7198,17,19,31,436,6695,44
dirichlet_0.1_sub0.05,val,dhash,7156,0,6,24,790,6336,48
dirichlet_0.1_sub0.05,val,phash,7156,22,15,31,1641,5447,48
dirichlet_0.1_sub0.05,test,dhash,7204,0,5,104,1336,5759,118
dirichlet_0.1_sub0.05,test,phash,7204,5,10,20,1352,5817,118
dirichlet_0.1_sub0.01,val,dhash,7156,0,1,13,258,6884,25
dirichlet_0.1_sub0.01,val,phash,7156,8,14,23,510,6601,25
dirichlet_0.1_sub0.01,test,dhash,7204,0,80,305,691,6128,392
dirichlet_0.1_sub0.01,test,phash,7204,3,7,131,809,6254,392
dirichlet_0.5_sub0.05,val,dhash,7199,0,3,29,1234,5933,47
dirichlet_0.5_sub0.05,val,phash,7199,11,10,20,1292,5866,47
dirichlet_0.5_sub0.05,test,dhash,7201,0,6,30,1130,6035,40
dirichlet_0.5_sub0.05,test,phash,7201,4,6,11,1670,5510,40
dirichlet_0.5_sub0.01,val,dhash,7199,0,1,24,785,6389,34
dirichlet_0.5_sub0.01,val,phash,7199,3,7,7,479,6703,34
dirichlet_0.5_sub0.01,test,dhash,7201,0,2,5,795,6399,9
dirichlet_0.5_sub0.01,test,phash,7201,2,1,2,212,6984,9
dirichlet_1_sub0.05,val,dhash,7198,0,6,347,1704,5141,372
dirichlet_1_sub0.05,val,phash,7198,10,17,101,1740,5330,372
dirichlet_1_sub0.05,test,dhash,7201,0,9,48,1334,5810,85
dirichlet_1_sub0.05,test,phash,7201,18,32,45,1658,5448,85
dirichlet_1_sub0.01,val,dhash,7198,0,2,22,928,6246,25
dirichlet_1_sub0.01,val,phash,7198,2,0,2,637,6557,25
dirichlet_1_sub0.01,test,dhash,7201,0,1,9,483,6708,20
dirichlet_1_sub0.01,test,phash,7201,5,9,5,664,6518,20
