grouping,phash_threshold,n_groups,n_nontrivial_groups,largest_group,partition,n_heldout,residual_dhash_9_10,residual_dhash_le10,residual_phash_le8,min_heldout_per_client,node_images_max_over_min,n_heldout_sets,n_sets_top_seq_ge90,max_sequence_share,max_sequence_where
tau=8,-1,394,265,4924,iid,14311,224,224,335,2326,1.0,12,0,0.7913,node_a/test/No_Fire g236
tau=8,-1,394,265,4924,non_iid_label,14397,222,222,277,2398,1.0,12,0,0.8625,node_c/val/Fire g136
tau=8,-1,394,265,4924,dirichlet_0.1,14360,476,476,359,1392,1.95,11,2,1.0,node_c/test/No_Fire g76
tau=8,-1,394,265,4924,dirichlet_0.5,14400,188,188,265,137,45.87,8,0,0.6423,node_b/test/Fire g102
tau=8,-1,394,265,4924,dirichlet_1,14399,473,473,293,1604,2.0,12,0,0.8357,node_c/val/Fire g90
tau=8 + pHash<=6,6,201,152,5103,iid,13625,80,80,99,2195,1.0,12,0,0.8952,node_c/val/Fire g0
tau=8 + pHash<=6,6,201,152,5103,non_iid_label,14012,78,78,113,2140,1.0,12,3,1.0,node_b/val/Fire g53
tau=8 + pHash<=6,6,201,152,5103,dirichlet_0.1,14194,74,74,115,1356,1.94,9,1,1.0,node_a/val/Fire g73
tau=8 + pHash<=6,6,201,152,5103,dirichlet_0.5,14397,65,65,105,116,50.79,8,0,0.7783,node_a/val/Fire g83
tau=8 + pHash<=6,6,201,152,5103,dirichlet_1,13765,91,91,119,1545,2.0,12,4,1.0,node_a/test/Fire g89
tau=8 + pHash<=4,4,305,207,5030,iid,12541,127,127,171,1761,1.0,12,0,0.7911,node_c/val/Fire g73
tau=8 + pHash<=4,4,305,207,5030,non_iid_label,13842,155,155,207,2108,1.03,10,1,0.9116,node_c/val/Fire g123
tau=8 + pHash<=4,4,305,207,5030,dirichlet_0.1,14478,408,408,171,1418,2.27,11,4,1.0,node_a/val/Fire g108
tau=8 + pHash<=4,4,305,207,5030,dirichlet_0.5,14400,172,172,171,137,45.87,8,0,0.655,node_a/test/Fire g115
tau=8 + pHash<=4,4,305,207,5030,dirichlet_1,14293,406,406,98,1583,2.0,12,2,0.979,node_b/test/No_Fire g84
tau=8 + pHash<=3,3,370,247,4924,iid,14123,176,176,232,2260,1.0,12,0,0.8969,node_a/test/No_Fire g221
tau=8 + pHash<=3,3,370,247,4924,non_iid_label,14394,166,166,228,2397,1.0,12,1,0.9292,node_c/val/Fire g109
tau=8 + pHash<=3,3,370,247,4924,dirichlet_0.1,14458,471,471,251,1503,1.9,12,4,1.0,node_b/test/No_Fire g98
tau=8 + pHash<=3,3,370,247,4924,dirichlet_0.5,14428,125,125,227,137,45.87,8,0,0.7015,node_c/val/Fire g79
tau=8 + pHash<=3,3,370,247,4924,dirichlet_1,14382,520,520,252,1604,2.0,12,0,0.865,node_c/test/No_Fire g237
tau=8 (shipped),-1,-1,-1,-1,iid,14311,224,224,335,2326,1.0,12,0,0.7913,node_a/test/No_Fire g236
tau=8 (shipped),-1,-1,-1,-1,non_iid_label,14397,222,222,277,2398,1.0,12,0,0.8625,node_c/val/Fire g136
tau=8 (shipped),-1,-1,-1,-1,dirichlet_0.1,14360,476,476,359,1392,1.95,11,2,1.0,node_c/test/No_Fire g76
tau=8 (shipped),-1,-1,-1,-1,dirichlet_0.5,14400,188,188,265,137,45.87,8,0,0.6423,node_b/test/Fire g102
tau=8 (shipped),-1,-1,-1,-1,dirichlet_1,14399,473,473,293,1604,2.0,12,0,0.8357,node_c/val/Fire g90
