partition,node,split,label,n,sequences,largest_group,largest_share
dirichlet_0.1,node_a,test,Fire,299,3,131,0.7993
dirichlet_0.1,node_a,test,No_Fire,2348,68,236,0.3407
dirichlet_0.1,node_a,val,Fire,239,3,61,0.6987
dirichlet_0.1,node_a,val,No_Fire,2347,69,344,0.2143
dirichlet_0.1,node_b,test,Fire,2904,31,91,0.396
dirichlet_0.1,node_b,test,No_Fire,55,2,80,0.9636
dirichlet_0.1,node_b,val,Fire,2904,29,102,0.8006
dirichlet_0.1,node_b,val,No_Fire,274,2,102,0.8431
dirichlet_0.1,node_c,test,Fire,1387,30,48,0.3836
dirichlet_0.1,node_c,test,No_Fire,211,1,76,1.0
dirichlet_0.1,node_c,val,Fire,1387,29,71,0.4153
dirichlet_0.1,node_c,val,No_Fire,5,1,113,1.0
dirichlet_0.1_sub0.01,node_a,test,Fire,299,3,131,0.7993
dirichlet_0.1_sub0.01,node_a,test,No_Fire,2348,68,236,0.3407
dirichlet_0.1_sub0.01,node_a,val,Fire,239,3,61,0.6987
dirichlet_0.1_sub0.01,node_a,val,No_Fire,2347,69,344,0.2143
dirichlet_0.1_sub0.01,node_b,test,Fire,2904,31,91,0.396
dirichlet_0.1_sub0.01,node_b,test,No_Fire,55,2,80,0.9636
dirichlet_0.1_sub0.01,node_b,val,Fire,2904,29,102,0.8006
dirichlet_0.1_sub0.01,node_b,val,No_Fire,274,2,102,0.8431
dirichlet_0.1_sub0.01,node_c,test,Fire,1387,30,48,0.3836
dirichlet_0.1_sub0.01,node_c,test,No_Fire,211,1,76,1.0
dirichlet_0.1_sub0.01,node_c,val,Fire,1387,29,71,0.4153
dirichlet_0.1_sub0.01,node_c,val,No_Fire,5,1,113,1.0
dirichlet_0.1_sub0.05,node_a,test,Fire,299,3,131,0.7993
dirichlet_0.1_sub0.05,node_a,test,No_Fire,2348,68,236,0.3407
dirichlet_0.1_sub0.05,node_a,val,Fire,239,3,61,0.6987
dirichlet_0.1_sub0.05,node_a,val,No_Fire,2347,69,344,0.2143
dirichlet_0.1_sub0.05,node_b,test,Fire,2904,31,91,0.396
dirichlet_0.1_sub0.05,node_b,test,No_Fire,55,2,80,0.9636
dirichlet_0.1_sub0.05,node_b,val,Fire,2904,29,102,0.8006
dirichlet_0.1_sub0.05,node_b,val,No_Fire,274,2,102,0.8431
dirichlet_0.1_sub0.05,node_c,test,Fire,1387,30,48,0.3836
dirichlet_0.1_sub0.05,node_c,test,No_Fire,211,1,76,1.0
dirichlet_0.1_sub0.05,node_c,val,Fire,1387,29,71,0.4153
dirichlet_0.1_sub0.05,node_c,val,No_Fire,5,1,113,1.0
dirichlet_0.5,node_a,test,Fire,771,26,163,0.6044
dirichlet_0.5,node_a,test,No_Fire,24,16,298,0.0833
dirichlet_0.5,node_a,val,Fire,770,26,136,0.5377
dirichlet_0.5,node_a,val,No_Fire,24,16,338,0.125
dirichlet_0.5,node_b,test,Fire,3620,25,102,0.6423
dirichlet_0.5,node_b,test,No_Fire,2649,43,236,0.302
dirichlet_0.5,node_b,val,Fire,3619,24,0,0.373
dirichlet_0.5,node_b,val,No_Fire,2649,41,202,0.3851
dirichlet_0.5,node_c,test,Fire,134,19,153,0.306
dirichlet_0.5,node_c,test,No_Fire,3,3,singleton_102,0.3333
dirichlet_0.5,node_c,val,Fire,134,18,70,0.3507
dirichlet_0.5,node_c,val,No_Fire,3,3,singleton_109,0.3333
dirichlet_0.5_sub0.01,node_a,test,Fire,771,26,163,0.6044
dirichlet_0.5_sub0.01,node_a,test,No_Fire,24,16,298,0.0833
dirichlet_0.5_sub0.01,node_a,val,Fire,770,26,136,0.5377
dirichlet_0.5_sub0.01,node_a,val,No_Fire,24,16,338,0.125
dirichlet_0.5_sub0.01,node_b,test,Fire,3620,25,102,0.6423
dirichlet_0.5_sub0.01,node_b,test,No_Fire,2649,43,236,0.302
dirichlet_0.5_sub0.01,node_b,val,Fire,3619,24,0,0.373
dirichlet_0.5_sub0.01,node_b,val,No_Fire,2649,41,202,0.3851
dirichlet_0.5_sub0.01,node_c,test,Fire,134,19,153,0.306
dirichlet_0.5_sub0.01,node_c,test,No_Fire,3,3,singleton_102,0.3333
dirichlet_0.5_sub0.01,node_c,val,Fire,134,18,70,0.3507
dirichlet_0.5_sub0.01,node_c,val,No_Fire,3,3,singleton_109,0.3333
dirichlet_0.5_sub0.05,node_a,test,Fire,771,26,163,0.6044
dirichlet_0.5_sub0.05,node_a,test,No_Fire,24,16,298,0.0833
dirichlet_0.5_sub0.05,node_a,val,Fire,770,26,136,0.5377
