partition,kind,min_sequences,flagged,detail
dirichlet_0.1,local,1,1,node_c No_Fire (211 images)
dirichlet_0.1,fl,1,1,node_c No_Fire (211 images)
dirichlet_0.1,centralized,64,0,pooled Fire
dirichlet_0.1_sub0.01,local,1,1,node_c No_Fire (211 images)
dirichlet_0.1_sub0.01,fl,1,1,node_c No_Fire (211 images)
dirichlet_0.1_sub0.01,centralized,64,0,pooled Fire
dirichlet_0.1_sub0.05,local,1,1,node_c No_Fire (211 images)
dirichlet_0.1_sub0.05,fl,1,1,node_c No_Fire (211 images)
dirichlet_0.1_sub0.05,centralized,64,0,pooled Fire
dirichlet_0.5,local,3,0,node_c No_Fire (3 images)
dirichlet_0.5,fl,3,0,node_c No_Fire (3 images)
dirichlet_0.5,centralized,62,0,pooled No_Fire
dirichlet_0.5_sub0.01,local,3,0,node_c No_Fire (3 images)
dirichlet_0.5_sub0.01,fl,3,0,node_c No_Fire (3 images)
dirichlet_0.5_sub0.01,centralized,62,0,pooled No_Fire
dirichlet_0.5_sub0.05,local,3,0,node_c No_Fire (3 images)
dirichlet_0.5_sub0.05,fl,3,0,node_c No_Fire (3 images)
dirichlet_0.5_sub0.05,centralized,62,0,pooled No_Fire
dirichlet_1,local,20,0,node_a Fire (443 images)
dirichlet_1,fl,20,0,node_a Fire (443 images)
dirichlet_1,centralized,63,0,pooled Fire
dirichlet_1_sub0.01,local,20,0,node_a Fire (443 images)
dirichlet_1_sub0.01,fl,20,0,node_a Fire (443 images)
dirichlet_1_sub0.01,centralized,63,0,pooled Fire
dirichlet_1_sub0.05,local,20,0,node_a Fire (443 images)
dirichlet_1_sub0.05,fl,20,0,node_a Fire (443 images)
dirichlet_1_sub0.05,centralized,63,0,pooled Fire
iid,local,2,1,node_a No_Fire (1011 images)
iid,fl,2,1,node_a No_Fire (1011 images)
iid,centralized,53,0,pooled Fire
iid_sub0.01,local,2,1,node_a No_Fire (1011 images)
iid_sub0.01,fl,2,1,node_a No_Fire (1011 images)
iid_sub0.01,centralized,53,0,pooled Fire
iid_sub0.05,local,2,1,node_a No_Fire (1011 images)
iid_sub0.05,fl,2,1,node_a No_Fire (1011 images)
iid_sub0.05,centralized,53,0,pooled Fire
non_iid_label,local,22,0,node_a No_Fire (480 images)
non_iid_label,fl,22,0,node_a No_Fire (480 images)
non_iid_label,centralized,70,0,pooled No_Fire
non_iid_label_sub0.01,local,22,0,node_a No_Fire (480 images)
non_iid_label_sub0.01,fl,22,0,node_a No_Fire (480 images)
non_iid_label_sub0.01,centralized,70,0,pooled No_Fire
non_iid_label_sub0.05,local,22,0,node_a No_Fire (480 images)
non_iid_label_sub0.05,fl,22,0,node_a No_Fire (480 images)
non_iid_label_sub0.05,centralized,70,0,pooled No_Fire
