run_dir,run_name,protocol,kind,strategy,strategy_display,mu,distribution,seed,seed_label,num_rounds,local_epochs,lr,n_nodes,schema_version,config_id,label,timestamp,time_estimated,comm_estimated,n_curve_points,headline_source,selected_round,selected_val_loss,tags,final_accuracy,round1_accuracy,final_loss,selected_test_accuracy,selected_test_balanced_accuracy,selected_test_recall,selected_test_specificity,selected_test_macro_f1,selected_test_mcc,selected_test_roc_auc,selected_test_loss,v1_final_round_accuracy,total_time_s,total_time_raw_s,final_elapsed_s,final_cumulative_mb
C:\Users\CORSAIR\projects\FedRGBD\results\rev_dirichlet0.1_centralized_seed123,rev_dirichlet0.1_centralized_seed123,group,centralized,centralized,Centralized,,dirichlet_0.1,123.0,123,3,15.0,0.001,3,2,group|centralized|centralized|dirichlet_0.1|3|15|0.001|3,Centralized dirichlet_0.1 {group},2026-09-17T14:32:51.691437,False,False,3,final_epoch_test,,,,0.911993,0.683343,0.738913,,,,,,,,,,2694.1,2694.1,2694.0000000000005,0.0
C:\Users\CORSAIR\projects\FedRGBD\results\rev_dirichlet0.1_centralized_seed42,rev_dirichlet0.1_centralized_seed42,group,centralized,centralized,Centralized,,dirichlet_0.1,42.0,42,3,15.0,0.001,3,2,group|centralized|centralized|dirichlet_0.1|3|15|0.001|3,Centralized dirichlet_0.1 {group},2026-09-17T14:32:51.509594,False,False,3,final_epoch_test,,,,0.828845,0.934181,0.933706,,,,,,,,,,2686.4,2686.4,2686.5,0.0
C:\Users\CORSAIR\projects\FedRGBD\results\rev_dirichlet0.1_centralized_seed456,rev_dirichlet0.1_centralized_seed456,group,centralized,centralized,Centralized,,dirichlet_0.1,456.0,456,3,15.0,0.001,3,2,group|centralized|centralized|dirichlet_0.1|3|15|0.001|3,Centralized dirichlet_0.1 {group},2026-09-17T14:32:37.505741,False,False,3,final_epoch_test,,,,0.940033,0.905534,0.406517,,,,,,,,,,2678.72,2678.72,2678.6999999999994,0.0
C:\Users\CORSAIR\projects\FedRGBD\results\rev_dirichlet0.5_centralized_seed123,rev_dirichlet0.5_centralized_seed123,group,centralized,centralized,Centralized,,dirichlet_0.5,123.0,123,3,15.0,0.001,3,2,group|centralized|centralized|dirichlet_0.5|3|15|0.001|3,Centralized dirichlet_0.5 {group},2026-09-17T15:18:18.562388,False,False,3,final_epoch_test,,,,0.929454,0.953744,0.431739,,,,,,,,,,2687.94,2687.94,2687.9,0.0
C:\Users\CORSAIR\projects\FedRGBD\results\rev_dirichlet0.5_centralized_seed42,rev_dirichlet0.5_centralized_seed42,group,centralized,centralized,Centralized,,dirichlet_0.5,42.0,42,3,15.0,0.001,3,2,group|centralized|centralized|dirichlet_0.5|3|15|0.001|3,Centralized dirichlet_0.5 {group},2026-09-17T14:32:59.400783,False,False,3,final_epoch_test,,,,0.911818,0.978747,0.37107,,,,,,,,,,2697.94,2697.94,2697.8000000000006,0.0
C:\Users\CORSAIR\projects\FedRGBD\results\rev_dirichlet0.5_centralized_seed456,rev_dirichlet0.5_centralized_seed456,group,centralized,centralized,Centralized,,dirichlet_0.5,456.0,456,3,15.0,0.001,3,2,group|centralized|centralized|dirichlet_0.5|3|15|0.001|3,Centralized dirichlet_0.5 {group},2026-09-17T15:18:13.108972,False,False,3,final_epoch_test,,,,0.769893,0.980414,0.560359,,,,,,,,,,2681.89,2681.89,2681.7000000000003,0.0
C:\Users\CORSAIR\projects\FedRGBD\results\rev_dirichlet1_centralized_seed123,rev_dirichlet1_centralized_seed123,group,centralized,centralized,Centralized,,dirichlet_1,123.0,123,3,15.0,0.001,3,2,group|centralized|centralized|dirichlet_1|3|15|0.001|3,Centralized dirichlet_1 {group},2026-09-17T15:18:25.879405,False,False,3,final_epoch_test,,,,0.735315,0.898166,0.916631,,,,,,,,,,2687.58,2687.58,2687.7000000000003,0.0
C:\Users\CORSAIR\projects\FedRGBD\results\rev_dirichlet1_centralized_seed42,rev_dirichlet1_centralized_seed42,group,centralized,centralized,Centralized,,dirichlet_1,42.0,42,3,15.0,0.001,3,2,group|centralized|centralized|dirichlet_1|3|15|0.001|3,Centralized dirichlet_1 {group},2026-09-17T15:17:50.735060,False,False,3,final_epoch_test,,,,0.691015,0.898444,1.430375,,,,,,,,,,2673.89,2673.89,2673.8,0.0
C:\Users\CORSAIR\projects\FedRGBD\results\rev_dirichlet1_centralized_seed456,rev_dirichlet1_centralized_seed456,group,centralized,centralized,Centralized,,dirichlet_1,456.0,456,3,15.0,0.001,3,2,group|centralized|centralized|dirichlet_1|3|15|0.001|3,Centralized dirichlet_1 {group},2026-09-17T16:04:00.879636,False,False,3,final_epoch_test,,,,0.681017,0.949708,1.286005,,,,,,,,,,2703.36,2703.36,2703.2,0.0
C:\Users\CORSAIR\projects\FedRGBD\results\rev_iid_centralized_seed1011,rev_iid_centralized_seed1011,group,centralized,centralized,Centralized,,iid,1011.0,1011,3,15.0,0.001,3,2,group|centralized|centralized|iid|3|15|0.001|3,Centralized iid {group},2026-09-17T13:02:03.026611,False,False,3,final_epoch_test,,,,0.88599,0.931078,0.932898,,,,,,,,,,2743.73,2743.73,2743.7,0.0
